@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ com.google.debugging.sourcemap.SourceMapLineDecoder$StringParser.hasNext,5,5,6,2,2,33.33333333333333,33.33333333333333,0,10
@@ com.google.debugging.sourcemap.SourceMapSection.getSectionUrl,5,6,10,3,5,30.0,50.0,0,6
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$LineMapper.visit,17,23,47,14,22,29.78723404255319,46.808510638297875,0,49
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$LineMapper.writeEntry,5,6,21,3,4,14.285714285714285,19.047619047619047,0,5
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$LineMapper.openLine,4,4,4,2,2,50.0,50.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$LineMapper.closeLine,4,4,4,2,2,50.0,50.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$ParseState.readLineOrNull,6,7,18,3,4,16.666666666666664,22.22222222222222,0,5
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$ParseState.readLine,4,4,4,2,3,50.0,75.0,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$ParseState.expectLine,4,4,7,2,2,28.57142857142857,28.57142857142857,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV2.parseInternal,16,21,42,9,13,21.428571428571427,30.952380952380953,0,19
@@ com.google.debugging.sourcemap.SourceMapConsumerV2.getMappingForLine,20,27,42,12,16,28.57142857142857,38.095238095238095,0,11
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingWriter.appendMappingTo,8,10,36,6,7,16.666666666666664,19.444444444444446,0,10
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingWriter.appendMappings,7,8,10,2,4,20.0,40.0,0,3
@@ com.google.debugging.sourcemap.SourceMapGeneratorFactory.getInstance,6,8,8,4,4,50.0,50.0,0,1
@@ com.google.debugging.sourcemap.Base64VLQ.toVLQSigned,4,4,4,2,2,50.0,50.0,0,0
@@ com.google.debugging.sourcemap.Base64VLQ.fromVLQSigned,8,9,6,4,5,66.66666666666666,83.33333333333334,0,1
@@ com.google.debugging.sourcemap.Base64VLQ.encode,6,7,10,3,4,30.0,40.0,0,2
@@ com.google.debugging.sourcemap.Base64VLQ.decode,7,8,11,3,4,27.27272727272727,36.36363636363637,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.build,13,16,32,7,15,21.875,46.875,0,20
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.validateEntry,13,17,22,8,10,36.36363636363637,45.45454545454545,0,8
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.decodeEntry,6,8,21,4,4,19.047619047619047,19.047619047619047,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.tryConsumeToken,5,6,12,3,4,25.0,33.33333333333333,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$MappingBuilder.entryComplete,8,10,10,4,6,40.0,60.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingWriter.appendMappingTo,6,7,24,4,5,16.666666666666664,20.833333333333336,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingWriter.appendMappings,7,8,10,2,4,20.0,40.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerFactory.parse,9,12,13,5,7,38.46153846153847,53.84615384615385,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.parse,8,10,13,4,6,30.76923076923077,46.15384615384615,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.parseMetaMap,26,38,53,18,35,33.9622641509434,66.0377358490566,0,20
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.getMappingForLine,21,28,39,12,16,30.76923076923077,41.02564102564102,0,7
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.getReverseMapping,8,10,15,5,7,33.33333333333333,46.666666666666664,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.getJavaStringArray,5,5,11,2,4,18.181818181818183,36.36363636363637,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.getOriginalMappingForEntry,6,7,12,3,4,25.0,33.33333333333333,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.createReverseMapping,16,22,51,10,17,19.607843137254903,33.33333333333333,0,19
@@ com.google.debugging.sourcemap.SourceMapConsumerV3.visitMappings,16,21,56,16,24,28.57142857142857,42.857142857142854,0,35
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.parseCharacterMap,22,30,91,36,59,39.56043956043956,64.83516483516483,0,70
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.parseFileMappings,15,21,81,20,37,24.691358024691358,45.67901234567901,0,29
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.parseInternal,9,11,22,6,8,27.27272727272727,36.36363636363637,0,2
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.getMappingForLine,16,23,40,10,21,25.0,52.5,0,7
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.binarySearch,10,12,25,7,11,28.000000000000004,44.0,0,5
@@ com.google.debugging.sourcemap.SourceMapConsumerV1.getMappingFromId,4,4,4,2,2,50.0,50.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$LineFragment.valueAtColumn,8,9,18,4,6,22.22222222222222,33.33333333333333,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$LineMapper.visit,10,12,25,7,13,28.000000000000004,52.0,0,4
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$LineMapper.closeLine,5,5,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$LineMapper.closeEntry,10,13,34,5,8,14.705882352941178,23.52941176470588,0,4
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$UsedMappingCheck.visit,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ com.google.debugging.sourcemap.SourceMapLineDecoder.decodeLineEntry,14,17,48,9,18,18.75,37.5,0,8
@@ com.google.debugging.sourcemap.SourceMapLineDecoder.decodeLine,8,9,19,3,6,15.789473684210526,31.57894736842105,0,4
@@ com.google.debugging.sourcemap.SourceMapLineDecoder.getIdFromRelativeId,5,5,6,2,3,33.33333333333333,50.0,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$MappingTraversal.traverse,11,14,23,4,7,17.391304347826086,30.434782608695656,0,4
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$MappingTraversal.getAdjustedCol,5,5,5,2,3,40.0,60.0,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$MappingTraversal.isOverlapped,7,9,12,5,6,41.66666666666667,50.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$MappingTraversal.maybeVisit,6,8,23,4,7,17.391304347826086,30.434782608695656,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$MappingTraversal.maybeVisitParent,10,14,35,7,11,20.0,31.428571428571427,0,3
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3$MappingTraversal.visit,12,16,37,8,11,21.62162162162162,29.72972972972973,0,2
@@ com.google.debugging.sourcemap.Util.escapeString,32,51,96,32,64,33.33333333333333,66.66666666666666,0,98
@@ com.google.debugging.sourcemap.Util.appendHexJavaScriptRepresentation,4,4,7,2,2,28.57142857142857,28.57142857142857,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3.setWrapperPrefix,8,9,25,8,16,32.0,64.0,0,5
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3.setStartingPosition,8,9,7,4,5,57.14285714285714,71.42857142857143,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3.addMapping,19,28,62,14,21,22.58064516129032,33.87096774193548,0,11
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3.addNameMap,7,8,12,4,8,33.33333333333333,66.66666666666666,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3.prepMappings,7,8,17,3,6,17.647058823529413,35.294117647058826,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3.appendIndexMapTo,13,16,25,7,12,28.000000000000004,48.0,0,8
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3.getSourceId,6,7,20,3,5,15.0,25.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV3.getNameId,5,5,8,2,2,25.0,25.0,0,0
@@ com.google.debugging.sourcemap.Base64.toBase64,6,8,8,4,8,50.0,100.0,0,1
@@ com.google.debugging.sourcemap.Base64.fromBase64,5,6,6,3,5,50.0,83.33333333333334,0,0
@@ com.google.debugging.sourcemap.Base64.base64EncodeInt,5,5,10,2,4,20.0,40.0,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$LineMapper.visit,18,23,45,12,20,26.666666666666668,44.44444444444444,0,10
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$LineMapper.openLine,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$LineMapper.closeLine,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$LineMapper.addCharEntry,7,8,14,3,4,21.428571428571427,28.57142857142857,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1.addMapping,20,29,61,15,23,24.59016393442623,37.704918032786885,0,15
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1.setWrapperPrefix,8,9,25,8,16,32.0,64.0,0,6
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1.setStartingPosition,8,9,7,4,5,57.14285714285714,71.42857142857143,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1.appendTo,5,5,11,2,4,18.181818181818183,36.36363636363637,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1.prepMappings,7,8,17,3,6,17.647058823529413,35.294117647058826,0,4
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$SourceFile.<init>,6,7,8,3,4,37.5,50.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV1$SourceFile.getOriginalMapping,5,5,20,2,4,10.0,20.0,0,3
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$UsedMappingCheck.visit,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingTraversal.traverse,11,14,23,4,7,17.391304347826086,30.434782608695656,0,4
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingTraversal.getAdjustedCol,5,5,5,2,3,40.0,60.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingTraversal.isOverlapped,7,9,12,5,6,41.66666666666667,50.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingTraversal.maybeVisit,6,8,23,4,7,17.391304347826086,30.434782608695656,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingTraversal.maybeVisitParent,10,14,35,7,11,20.0,31.428571428571427,0,5
@@ com.google.debugging.sourcemap.SourceMapGeneratorV1$MappingTraversal.visit,12,16,37,8,11,21.62162162162162,29.72972972972973,0,3
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$LineMapEncoder.encodeEntry,16,21,33,9,15,27.27272727272727,45.45454545454545,0,7
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$LineMapEncoder.getRelativeMappingId,5,5,4,2,3,50.0,75.0,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$LineMapEncoder.getRelativeMappingIdLength,12,15,21,7,10,33.33333333333333,47.61904761904761,0,4
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2.setWrapperPrefix,8,9,25,8,16,32.0,64.0,0,6
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2.setStartingPosition,8,9,7,4,5,57.14285714285714,71.42857142857143,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2.addMapping,19,28,63,14,21,22.22222222222222,33.33333333333333,0,9
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2.addMap,7,8,12,4,8,33.33333333333333,66.66666666666666,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2.prepMappings,7,8,17,3,6,17.647058823529413,35.294117647058826,0,3
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2.getSourceId,6,7,20,3,5,15.0,25.0,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2.getNameId,5,5,8,2,2,25.0,25.0,0,1
@@ com.google.debugging.sourcemap.SourceMapConsumerV3$StringCharIterator.hasNext,5,5,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingTraversal.traverse,11,14,23,4,7,17.391304347826086,30.434782608695656,0,5
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingTraversal.getAdjustedCol,5,5,5,2,3,40.0,60.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingTraversal.isOverlapped,7,9,12,5,6,41.66666666666667,50.0,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingTraversal.maybeVisit,6,8,23,4,7,17.391304347826086,30.434782608695656,0,1
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingTraversal.maybeVisitParent,10,14,35,7,11,20.0,31.428571428571427,0,2
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$MappingTraversal.visit,12,16,37,8,11,21.62162162162162,29.72972972972973,0,4
@@ com.google.debugging.sourcemap.SourceMapGeneratorV2$UsedMappingCheck.visit,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ com.google.debugging.sourcemap.proto.Mapping$OriginalMapping$Builder.build,4,4,4,2,2,50.0,50.0,0,0
@@ com.google.debugging.sourcemap.proto.Mapping$OriginalMapping$Builder.buildParsed,4,4,4,2,2,50.0,50.0,0,0
@@ com.google.debugging.sourcemap.proto.Mapping$OriginalMapping$Builder.buildPartial,10,13,35,13,22,37.142857142857146,62.857142857142854,0,4
@@ com.google.debugging.sourcemap.proto.Mapping$OriginalMapping$Builder.mergeFrom,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ com.google.debugging.sourcemap.proto.Mapping$OriginalMapping$Builder.mergeFrom,12,16,21,9,10,42.857142857142854,47.61904761904761,0,2
@@ com.google.debugging.sourcemap.proto.Mapping$OriginalMapping$Builder.mergeFrom,11,16,49,23,29,46.93877551020408,59.183673469387756,0,9
@@ com.google.debugging.sourcemap.proto.Mapping$OriginalMapping$Builder.hasOriginalFile,5,5,4,2,2,50.0,50.0,0,0
@@ com.google.debugging.sourcemap.proto.Mapping$OriginalMapping$Builder.getOriginalFile,4,4,5,2,2,40.0,40.0,0,0
@@ com.google.debugging.sourcemap.proto.Mapping$OriginalMapping$Builder.setOriginalFile,4,4,5,2,2,40.0,40.0,0,0
