@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.apache.commons.math3.primes.PollardRho.primeFactors,6,7,9,3,4,33.33333333333333,44.44444444444444,0,13
@@ org.apache.commons.math3.primes.PollardRho.rhoBrent,17,22,75,18,48,24.0,64.0,0,190
@@ org.apache.commons.math3.primes.PollardRho.gcdPositive,9,11,23,4,7,17.391304347826086,30.434782608695656,0,10
@@ org.apache.commons.math3.primes.SmallPrimes.smallTrialDivision,8,9,23,4,8,17.391304347826086,34.78260869565217,0,11
@@ org.apache.commons.math3.primes.SmallPrimes.boundedTrialDivision,11,14,39,11,19,28.205128205128204,48.717948717948715,0,12
@@ org.apache.commons.math3.primes.SmallPrimes.trialDivision,4,4,5,2,2,40.0,40.0,0,1
@@ org.apache.commons.math3.primes.SmallPrimes.millerRabinPrimeTest,21,30,58,23,44,39.6551724137931,75.86206896551724,0,37
@@ org.apache.commons.math3.primes.Primes.isPrime,12,15,23,6,12,26.08695652173913,52.17391304347826,0,4
@@ org.apache.commons.math3.primes.Primes.nextPrime,18,25,39,13,22,33.33333333333333,56.41025641025641,0,7
@@ org.apache.commons.math3.primes.Primes.primeFactors,4,4,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction.<init>,5,5,7,1,3,14.285714285714285,42.857142857142854,0,2
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction$1.value,5,5,13,2,4,15.384615384615385,30.76923076923077,0,2
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.<init>,6,7,8,3,4,37.5,50.0,0,0
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.findMaxY,7,8,22,5,13,22.727272727272727,59.09090909090909,0,4
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.interpolateXAtY,8,10,20,4,6,20.0,30.0,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.getInterpolationPointsForY,14,19,41,12,24,29.268292682926827,58.536585365853654,0,10
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.isBetween,8,11,16,6,8,37.5,50.0,0,2
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.<init>,6,7,8,3,4,37.5,50.0,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.findMaxY,7,8,22,5,13,22.727272727272727,59.09090909090909,0,4
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.interpolateXAtY,8,10,20,4,6,20.0,30.0,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.getInterpolationPointsForY,14,19,41,12,24,29.268292682926827,58.536585365853654,0,11
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.isBetween,8,11,16,6,8,37.5,50.0,0,1
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction$2.value,5,5,13,2,4,15.384615384615385,30.76923076923077,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser$1.compare,21,30,32,12,20,37.5,62.5,0,4
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser$1.compare,21,30,32,12,20,37.5,62.5,0,5
@@ org.apache.commons.math3.fitting.GaussianCurveFitter.getOptimizer,8,9,20,3,5,15.0,25.0,0,2
@@ org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$2.value,5,5,10,1,3,10.0,30.0,0,1
@@ org.apache.commons.math3.fitting.CurveFitter.fit,5,5,14,1,3,7.142857142857142,21.428571428571427,0,1
@@ org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$1.value,5,5,10,1,3,10.0,30.0,0,1
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.<init>,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.sortObservations,12,16,47,11,23,23.404255319148938,48.93617021276596,0,21
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.guessAOmega,20,27,89,14,29,15.730337078651685,32.58426966292135,0,22
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.guessPhi,5,5,23,2,4,8.695652173913043,17.391304347826086,0,1
@@ org.apache.commons.math3.fitting.leastsquares.GaussNewtonOptimizer.doOptimize,35,47,111,22,36,19.81981981981982,32.432432432432435,0,80
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.<init>,14,17,30,8,9,26.666666666666668,30.0,0,5
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.getTarget,5,5,6,2,3,33.33333333333333,50.0,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.getStart,5,5,6,2,3,33.33333333333333,50.0,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.getWeightSquareRoot,5,5,6,2,3,33.33333333333333,50.0,0,1
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.computeSigma,5,5,11,2,4,18.181818181818183,36.36363636363637,0,1
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.computeResiduals,7,8,26,3,5,11.538461538461538,19.230769230769234,0,2
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.squareRoot,7,8,15,3,5,20.0,33.33333333333333,0,2
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.doOptimize,93,133,427,121,213,28.337236533957842,49.88290398126464,1,1656
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.determineLMParameter,72,99,349,70,116,20.057306590257877,33.2378223495702,0,509
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.determineLMDirection,41,56,201,44,78,21.890547263681594,38.80597014925373,0,176
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.qrDecomposition,36,48,169,46,77,27.218934911242602,45.562130177514796,0,137
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.qTy,11,13,42,6,10,14.285714285714285,23.809523809523807,0,11
@@ org.apache.commons.math3.analysis.FunctionUtils$4.value,5,5,17,2,4,11.76470588235294,23.52941176470588,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$6.value,5,5,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$2.value,5,5,12,2,3,16.666666666666664,25.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$2.value,5,5,12,2,3,16.666666666666664,25.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$16$2.value,8,9,28,4,7,14.285714285714285,25.0,0,3
@@ org.apache.commons.math3.analysis.FunctionUtils$6$1.value,5,5,20,2,4,10.0,20.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils.sample,9,11,26,4,7,15.384615384615385,26.923076923076923,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$7.value,5,5,17,2,4,11.76470588235294,23.52941176470588,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$5.value,5,5,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$5.value,5,5,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$19.value,23,30,94,18,33,19.148936170212767,35.1063829787234,0,24
@@ org.apache.commons.math3.analysis.FunctionUtils$16$1.value,8,9,28,5,10,17.857142857142858,35.714285714285715,0,3
@@ org.apache.commons.math3.analysis.FunctionUtils$1.value,5,5,12,2,3,16.666666666666664,25.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$3.value,5,5,12,2,3,16.666666666666664,25.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$17.value,20,26,79,15,28,18.9873417721519,35.44303797468354,0,12
@@ org.apache.commons.math3.analysis.FunctionUtils$15.value,8,10,24,4,6,16.666666666666664,25.0,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$9$1.value,10,12,52,10,18,19.230769230769234,34.61538461538461,0,12
@@ org.apache.commons.math3.analysis.FunctionUtils$9.value,5,5,17,2,4,11.76470588235294,23.52941176470588,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$11.value,5,5,16,2,4,12.5,25.0,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$3$1.value,5,5,15,2,3,13.333333333333334,20.0,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$18$1.value,11,13,38,7,12,18.421052631578945,31.57894736842105,0,6
@@ org.apache.commons.math3.analysis.FunctionUtils$8.value,5,5,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$8.value,5,5,17,2,4,11.76470588235294,23.52941176470588,0,1
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.<init>,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.<init>,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.stage,5,5,18,2,4,11.11111111111111,22.22222222222222,0,1
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.doIntegrate,7,9,24,5,8,20.833333333333336,33.33333333333333,0,2
