@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ edu.stanford.nlp.ling.CoreUtilities.toSentence,7,8,20,11,55.00000000000001,0,8
@@ edu.stanford.nlp.ling.CoreUtilities.deepCopy,5,5,2,2,100.0,0,1
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelList,5,5,2,2,100.0,0,1
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelList,5,5,2,2,100.0,0,1
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelList,8,10,19,15,78.94736842105263,0,2
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelListWithCharacterOffsets,8,10,21,16,76.19047619047619,0,5
@@ edu.stanford.nlp.ling.CoreUtilities.toCoreLabelList,11,15,26,22,84.61538461538461,0,2
@@ edu.stanford.nlp.ling.TaggedWord.<init>,4,4,4,4,100.0,0,0
@@ edu.stanford.nlp.ling.TaggedWord.setFromString,5,5,7,7,100.0,0,0
@@ edu.stanford.nlp.ling.MultiTokenTag$Tag.equals,13,18,35,35,100.0,0,1
@@ edu.stanford.nlp.ling.DocumentReader.<init>,4,4,7,7,100.0,0,0
@@ edu.stanford.nlp.ling.DocumentReader.readDocument,4,4,4,4,100.0,0,1
@@ edu.stanford.nlp.ling.DocumentReader.getBufferedReader,6,7,7,6,85.71428571428571,0,1
@@ edu.stanford.nlp.ling.DocumentReader.readText,7,8,9,9,100.0,0,0
@@ edu.stanford.nlp.ling.WordLemmaTag.setFromString,7,8,15,15,100.0,0,1
@@ edu.stanford.nlp.ling.WordLemmaTag.equals,11,15,19,19,100.0,0,1
@@ edu.stanford.nlp.ling.WordLemmaTag.hashCode,11,13,16,16,100.0,0,1
@@ edu.stanford.nlp.ling.WordLemmaTag.compareTo,6,7,10,10,100.0,0,0
@@ edu.stanford.nlp.ling.ValueLabel.toString,5,5,3,3,100.0,0,1
@@ edu.stanford.nlp.ling.ValueLabel.equals,9,12,10,10,100.0,0,1
@@ edu.stanford.nlp.ling.ValueLabel.hashCode,5,5,3,3,100.0,0,1
@@ edu.stanford.nlp.ling.BasicDocument.init,8,9,9,9,100.0,0,1
@@ edu.stanford.nlp.ling.BasicDocument.label,5,5,6,6,100.0,0,0
@@ edu.stanford.nlp.ling.BasicDocument.setLabels,4,4,5,5,100.0,0,1
@@ edu.stanford.nlp.ling.BasicDocument.addLabel,4,4,5,5,100.0,0,5
@@ edu.stanford.nlp.ling.BasicDocument.setTitle,5,5,5,5,100.0,0,0
@@ edu.stanford.nlp.ling.BasicDocument.presentableText,7,8,6,6,100.0,0,1
@@ edu.stanford.nlp.ling.CoreLabel.<init>,5,5,3,3,100.0,0,1
@@ edu.stanford.nlp.ling.CoreLabel.<init>,15,19,18,18,100.0,0,0
@@ edu.stanford.nlp.ling.CoreLabel.initFromStrings,20,27,53,40,75.47169811320755,0,2
@@ edu.stanford.nlp.ling.CoreLabel.parseStringKeys,7,8,20,12,60.0,0,0
@@ edu.stanford.nlp.ling.CoreLabel.initFromStrings,16,21,47,34,72.3404255319149,0,0
@@ edu.stanford.nlp.ling.CoreLabel.getString,4,4,4,4,100.0,0,0
@@ edu.stanford.nlp.ling.CoreLabel.setWord,6,8,9,9,100.0,0,0
@@ edu.stanford.nlp.ling.CoreLabel.index,4,4,3,3,100.0,0,0
@@ edu.stanford.nlp.ling.CoreLabel.sentIndex,4,4,3,3,100.0,0,0
@@ edu.stanford.nlp.ling.CoreLabel.beginPosition,4,4,3,3,100.0,0,0
@@ edu.stanford.nlp.ling.CoreLabel.endPosition,4,4,3,3,100.0,0,1
