@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.math3.primes.PollardRho.primeFactors,6,7,9,9,100.0,0,8
@@ org.apache.commons.math3.primes.PollardRho.rhoBrent,17,22,75,29,38.666666666666664,0,4
@@ org.apache.commons.math3.primes.PollardRho.gcdPositive,9,11,23,13,56.52173913043478,0,1
@@ org.apache.commons.math3.primes.SmallPrimes.smallTrialDivision,8,9,23,12,52.17391304347826,0,2
@@ org.apache.commons.math3.primes.SmallPrimes.boundedTrialDivision,11,14,39,17,43.58974358974359,0,1
@@ org.apache.commons.math3.primes.SmallPrimes.trialDivision,4,4,5,5,100.0,0,1
@@ org.apache.commons.math3.primes.SmallPrimes.millerRabinPrimeTest,21,30,58,24,41.37931034482759,0,2
@@ org.apache.commons.math3.primes.Primes.isPrime,12,15,23,18,78.26086956521739,0,1
@@ org.apache.commons.math3.primes.Primes.nextPrime,18,25,39,22,56.41025641025641,0,2
@@ org.apache.commons.math3.primes.Primes.primeFactors,4,4,5,5,100.0,0,1
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction.<init>,5,5,7,6,85.71428571428571,0,1
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction$1.value,5,5,13,9,69.23076923076923,0,0
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.<init>,6,7,8,8,100.0,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.findMaxY,7,8,22,6,27.27272727272727,0,0
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.interpolateXAtY,8,10,20,20,100.0,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.getInterpolationPointsForY,14,19,41,26,63.41463414634146,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.isBetween,8,11,16,4,25.0,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.<init>,6,7,8,8,100.0,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.findMaxY,7,8,22,6,27.27272727272727,0,0
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.interpolateXAtY,8,10,20,20,100.0,0,0
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.getInterpolationPointsForY,14,19,41,26,63.41463414634146,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.isBetween,8,11,16,4,25.0,0,0
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction$2.value,5,5,13,9,69.23076923076923,0,2
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser$1.compare,21,30,32,30,93.75,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser$1.compare,21,30,32,30,93.75,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter.getOptimizer,8,9,20,19,95.0,0,0
@@ org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$2.value,5,5,10,9,90.0,0,0
@@ org.apache.commons.math3.fitting.CurveFitter.fit,5,5,14,13,92.85714285714286,0,0
@@ org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$1.value,5,5,10,9,90.0,0,0
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.<init>,4,4,6,6,100.0,0,0
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.sortObservations,12,16,47,22,46.808510638297875,0,1
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.guessAOmega,20,27,89,45,50.56179775280899,0,1
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.guessPhi,5,5,23,11,47.82608695652174,0,0
@@ org.apache.commons.math3.fitting.leastsquares.GaussNewtonOptimizer.doOptimize,35,47,111,79,71.17117117117117,0,2
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.<init>,14,17,30,30,100.0,0,1
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.getTarget,5,5,6,6,100.0,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.getStart,5,5,6,6,100.0,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.getWeightSquareRoot,5,5,6,6,100.0,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.computeSigma,5,5,11,7,63.63636363636363,0,1
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.computeResiduals,7,8,26,22,84.61538461538461,0,0
@@ org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizer.squareRoot,7,8,15,11,73.33333333333333,0,1
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.doOptimize,93,133,427,192,44.96487119437939,0,5
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.determineLMParameter,72,99,349,189,54.15472779369628,0,3
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.determineLMDirection,41,56,201,97,48.258706467661696,0,9
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.qrDecomposition,36,48,169,79,46.74556213017752,0,1
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.qTy,11,13,42,25,59.523809523809526,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$4.value,5,5,17,10,58.82352941176471,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$6.value,5,5,17,10,58.82352941176471,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$2.value,5,5,12,5,41.66666666666667,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$2.value,5,5,12,5,41.66666666666667,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$16$2.value,8,9,28,20,71.42857142857143,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$6$1.value,5,5,20,13,65.0,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils.sample,9,11,26,22,84.61538461538461,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$7.value,5,5,17,10,58.82352941176471,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$5.value,5,5,17,10,58.82352941176471,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$5.value,5,5,17,10,58.82352941176471,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$19.value,23,30,94,58,61.702127659574465,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$16$1.value,8,9,28,16,57.14285714285714,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$1.value,5,5,12,5,41.66666666666667,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$3.value,5,5,12,5,41.66666666666667,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$17.value,20,26,79,50,63.29113924050633,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$15.value,8,10,24,20,83.33333333333334,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$9$1.value,10,12,52,27,51.92307692307693,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$9.value,5,5,17,10,58.82352941176471,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$11.value,5,5,16,9,56.25,0,2
@@ org.apache.commons.math3.analysis.FunctionUtils$3$1.value,5,5,15,7,46.666666666666664,0,1
@@ org.apache.commons.math3.analysis.FunctionUtils$18$1.value,11,13,38,24,63.1578947368421,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$8.value,5,5,17,10,58.82352941176471,0,0
@@ org.apache.commons.math3.analysis.FunctionUtils$8.value,5,5,17,10,58.82352941176471,0,1
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.<init>,4,4,3,3,100.0,0,0
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.<init>,4,4,3,3,100.0,0,0
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.stage,5,5,18,10,55.55555555555556,0,0
@@ org.apache.commons.math3.analysis.integration.MidPointIntegrator.doIntegrate,7,9,24,13,54.166666666666664,0,1
@@ org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator.<init>,4,4,6,6,100.0,0,0
@@ org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator.doIntegrate,6,7,22,15,68.18181818181817,0,1
@@ org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator.stage,5,5,18,11,61.111111111111114,0,0
@@ org.apache.commons.math3.analysis.integration.TrapezoidIntegrator.<init>,4,4,3,3,100.0,0,1
@@ org.apache.commons.math3.analysis.integration.TrapezoidIntegrator.<init>,4,4,3,3,100.0,0,1
@@ org.apache.commons.math3.analysis.integration.TrapezoidIntegrator.stage,7,8,25,17,68.0,0,1
@@ org.apache.commons.math3.analysis.integration.TrapezoidIntegrator.doIntegrate,7,9,22,12,54.54545454545454,0,1
@@ org.apache.commons.math3.analysis.integration.SimpsonIntegrator.<init>,4,4,3,3,100.0,0,0
@@ org.apache.commons.math3.analysis.integration.SimpsonIntegrator.<init>,4,4,3,3,100.0,0,0
@@ org.apache.commons.math3.analysis.integration.SimpsonIntegrator.doIntegrate,9,12,30,19,63.33333333333333,0,1
@@ org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator.<init>,8,11,19,19,100.0,0,0
@@ org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator.doIntegrate,6,7,22,15,68.18181818181817,0,0
@@ org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator.stage,8,9,32,18,56.25,0,1
@@ org.apache.commons.math3.analysis.integration.RombergIntegrator.<init>,4,4,3,3,100.0,0,1
@@ org.apache.commons.math3.analysis.integration.RombergIntegrator.<init>,4,4,3,3,100.0,0,1
@@ org.apache.commons.math3.analysis.integration.RombergIntegrator.doIntegrate,10,13,37,21,56.75675675675676,0,0
@@ org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator.<init>,6,7,12,12,100.0,0,1
@@ org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory.getRule,6,7,14,11,78.57142857142857,0,0
@@ org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory.getRuleInternal,4,4,5,5,100.0,0,1
@@ org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory.addRule,4,4,6,6,100.0,0,1
@@ org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory.convertToDouble,5,5,14,10,71.42857142857143,0,0
@@ org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory.computeRule,34,45,136,51,37.5,0,1
@@ org.apache.commons.math3.analysis.integration.gauss.HermiteRuleFactory.computeRule,34,45,135,53,39.25925925925926,0,1
@@ org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory.transform,5,5,14,10,71.42857142857143,0,0
@@ org.apache.commons.math3.analysis.integration.gauss.SymmetricGaussIntegrator.integrate,9,11,31,17,54.83870967741935,0,1
@@ org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator.<init>,4,4,10,10,100.0,0,0
@@ org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator.integrate,5,5,20,12,60.0,0,0
@@ org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory.computeRule,35,46,166,90,54.21686746987952,0,2
@@ org.apache.commons.math3.analysis.solvers.MullerSolver2.doSolve,24,33,118,57,48.30508474576271,0,1
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.<init>,4,4,6,6,100.0,0,0
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.<init>,4,4,6,6,100.0,0,0
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.<init>,4,4,6,6,100.0,0,0
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.doSolve,59,87,317,79,24.9211356466877,0,3
@@ org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver.guessX,11,13,41,22,53.65853658536586,0,1
@@ org.apache.commons.math3.analysis.solvers.LaguerreSolver.doSolve,12,16,41,41,100.0,0,0
@@ org.apache.commons.math3.analysis.solvers.LaguerreSolver.laguerre,9,11,42,30,71.42857142857143,0,0
@@ org.apache.commons.math3.analysis.solvers.BrentSolver.doSolve,12,16,41,41,100.0,0,0
@@ org.apache.commons.math3.analysis.solvers.BrentSolver.brent,31,45,229,25,10.91703056768559,0,2
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.solve,4,4,6,6,100.0,0,1
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.solve,4,4,7,7,100.0,0,0
@@ org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils.forceSide,25,36,116,29,25.0,0,1
