@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer.drawPrimaryLine,33,48,126,22,33,17.46031746031746,26.190476190476193,0,170
@@ org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer.getControlPoints,6,7,27,4,5,14.814814814814813,18.51851851851852,0,5
@@ org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer.getBezierCurve,5,5,27,2,4,7.4074074074074066,14.814814814814813,0,4
@@ org.jfree.chart.LegendItem.<init>,12,16,26,6,10,23.076923076923077,38.46153846153847,0,4
@@ org.jfree.chart.LegendItem.<init>,16,22,30,8,14,26.666666666666668,46.666666666666664,0,11
@@ org.jfree.chart.LegendItem.characterIteratorToString,7,8,15,3,5,20.0,33.33333333333333,0,2
@@ org.jfree.chart.LegendItem.setShape,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.LegendItem.setFillPaint,4,4,4,2,2,50.0,50.0,0,1
@@ org.jfree.chart.LegendItem.setLinePaint,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.LegendItem.setOutlinePaint,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.LegendItem.setLine,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.LegendItem.setFillPaintTransformer,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.LegendItem.equals,47,68,159,24,44,15.09433962264151,27.67295597484277,0,65
@@ org.jfree.chart.LegendItem.clone,6,7,20,4,5,20.0,25.0,0,1
@@ org.jfree.chart.LegendRenderingOrder.equals,8,10,13,4,6,30.76923076923077,46.15384615384615,0,2
@@ org.jfree.chart.LegendRenderingOrder.readResolve,6,7,10,3,4,30.0,40.0,0,1
@@ org.jfree.chart.JFreeChartInfo.getLogo,5,6,9,3,5,33.33333333333333,55.55555555555556,0,1
@@ org.jfree.chart.LegendItemCollection.equals,8,10,15,4,6,26.666666666666668,40.0,0,1
@@ org.jfree.chart.PolarChartPanel.createPopupMenu,13,16,33,6,13,18.181818181818183,39.39393939393939,0,5
@@ org.jfree.chart.PolarChartPanel.actionPerformed,9,11,11,4,6,36.36363636363637,54.54545454545454,0,1
@@ org.jfree.chart.PolarChartPanel.checkChart,4,4,2,2,2,100.0,100.0,0,0
@@ org.jfree.chart.PolarChartPanel.getPopupMenuItem,9,12,26,9,16,34.61538461538461,61.53846153846154,0,5
@@ org.jfree.chart.ChartPanel.<init>,10,15,26,8,14,30.76923076923077,53.84615384615385,0,13
@@ org.jfree.chart.ChartPanel.setChart,11,14,24,7,9,29.166666666666668,37.5,0,3
@@ org.jfree.chart.ChartPanel.setDomainZoomable,11,14,13,5,8,38.46153846153847,61.53846153846154,0,2
@@ org.jfree.chart.ChartPanel.setRangeZoomable,11,14,13,5,8,38.46153846153847,61.53846153846154,0,3
@@ org.jfree.chart.ChartPanel.setDefaultDirectoryForSaveAs,5,6,6,3,5,50.0,83.33333333333334,0,0
@@ org.jfree.chart.ChartPanel.setZoomFillPaint,4,4,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.ChartPanel.isMouseWheelEnabled,5,5,4,2,2,50.0,50.0,0,0
@@ org.jfree.chart.ChartPanel.setMouseWheelEnabled,8,11,15,6,8,40.0,53.333333333333336,0,1
@@ org.jfree.chart.ChartPanel.addOverlay,4,4,5,2,2,40.0,40.0,0,1
@@ org.jfree.chart.ChartPanel.removeOverlay,6,7,9,3,4,33.33333333333333,44.44444444444444,0,0
@@ org.jfree.chart.ChartPanel.addMouseHandler,4,4,5,2,2,40.0,40.0,0,0
@@ org.jfree.chart.ChartPanel.removeMouseHandler,4,4,5,2,2,40.0,40.0,0,1
@@ org.jfree.chart.ChartPanel.setDisplayToolTips,5,5,4,2,2,50.0,50.0,0,1
@@ org.jfree.chart.ChartPanel.getToolTipText,6,8,18,4,7,22.22222222222222,38.88888888888889,0,1
@@ org.jfree.chart.ChartPanel.getEntityForPoint,7,8,17,3,4,17.647058823529413,23.52941176470588,0,1
