@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.apache.commons.cli.TypeHandler.createValue,20,28,45,10,18,22.22222222222222,40.0,0,51
@@ org.apache.commons.cli.TypeHandler.createDate,4,4,5,2,3,40.0,60.0,0,1
@@ org.apache.commons.cli.Options.addOptionGroup,6,7,12,3,4,25.0,33.33333333333333,0,5
@@ org.apache.commons.cli.Options.addOption,8,10,23,5,7,21.73913043478261,30.434782608695656,0,8
@@ org.apache.commons.cli.Options.helpOptions,7,8,10,2,4,20.0,40.0,0,5
@@ org.apache.commons.cli.Options.getOption,4,4,12,2,2,16.666666666666664,16.666666666666664,0,1
@@ org.apache.commons.cli.Options.hasOption,6,7,12,3,4,25.0,33.33333333333333,0,3
@@ org.apache.commons.cli.HelpFormatter.printHelp,14,20,37,10,14,27.027027027027028,37.83783783783784,0,17
@@ org.apache.commons.cli.HelpFormatter.printUsage,11,14,22,5,8,22.727272727272727,36.36363636363637,0,11
@@ org.apache.commons.cli.HelpFormatter.appendOptionGroup,10,13,14,6,8,42.857142857142854,57.14285714285714,0,3
@@ org.apache.commons.cli.HelpFormatter.appendOption,12,16,18,9,10,50.0,55.55555555555556,0,6
@@ org.apache.commons.cli.HelpFormatter.renderOptions,25,34,76,19,31,25.0,40.78947368421053,0,80
@@ org.apache.commons.cli.HelpFormatter.renderWrappedText,7,8,28,2,3,7.142857142857142,10.714285714285714,0,4
@@ org.apache.commons.cli.HelpFormatter.findWrapPos,26,40,88,29,54,32.95454545454545,61.36363636363637,0,47
@@ org.apache.commons.cli.HelpFormatter.createPadding,5,5,10,2,4,20.0,40.0,0,1
@@ org.apache.commons.cli.HelpFormatter.rtrim,9,12,21,7,15,33.33333333333333,71.42857142857143,0,3
@@ org.apache.commons.cli.CommandLine.getOptionObject,7,8,13,3,4,23.076923076923077,30.76923076923077,0,1
@@ org.apache.commons.cli.CommandLine.getOptionValue,5,5,3,2,3,66.66666666666666,100.0,0,1
@@ org.apache.commons.cli.CommandLine.getOptionValues,6,7,21,4,8,19.047619047619047,38.095238095238095,0,1
@@ org.apache.commons.cli.CommandLine.getOptionValue,5,5,4,2,3,50.0,75.0,0,1
@@ org.apache.commons.cli.CommandLine.addOption,5,5,12,2,3,16.666666666666664,25.0,0,1
@@ org.apache.commons.cli.PosixParser.flatten,21,28,46,8,16,17.391304347826086,34.78260869565217,0,25
@@ org.apache.commons.cli.PosixParser.gobble,5,6,9,2,3,22.22222222222222,33.33333333333333,0,0
@@ org.apache.commons.cli.PosixParser.process,9,12,25,5,9,20.0,36.0,0,2
@@ org.apache.commons.cli.PosixParser.processOptionToken,6,7,13,3,4,23.076923076923077,30.76923076923077,0,1
@@ org.apache.commons.cli.PosixParser.burstToken,12,16,43,10,21,23.25581395348837,48.837209302325576,0,12
@@ org.apache.commons.cli.Option.<init>,4,4,6,2,3,33.33333333333333,50.0,0,1
@@ org.apache.commons.cli.Option.getKey,4,4,8,2,2,25.0,25.0,0,1
@@ org.apache.commons.cli.Option.hasLongOpt,5,5,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.cli.Option.hasArg,6,7,8,3,4,37.5,50.0,0,1
@@ org.apache.commons.cli.Option.hasArgName,6,7,8,3,4,37.5,50.0,0,1
@@ org.apache.commons.cli.Option.hasArgs,6,7,8,3,4,37.5,50.0,0,1
@@ org.apache.commons.cli.Option.hasValueSeparator,5,5,4,2,2,50.0,50.0,0,1
@@ org.apache.commons.cli.Option.addValue,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.apache.commons.cli.Option.processValue,8,10,23,5,11,21.73913043478261,47.82608695652174,0,3
@@ org.apache.commons.cli.Option.add,5,6,13,3,5,23.076923076923077,38.46153846153847,0,1
@@ org.apache.commons.cli.Option.getValue,5,5,4,2,3,50.0,75.0,0,0
@@ org.apache.commons.cli.Option.getValue,5,5,5,2,3,40.0,60.0,0,1
@@ org.apache.commons.cli.Option.getValue,5,5,4,2,3,50.0,75.0,0,0
@@ org.apache.commons.cli.Option.getValues,5,5,4,2,3,50.0,75.0,0,0
@@ org.apache.commons.cli.Option.toString,8,10,24,6,7,25.0,29.166666666666668,0,9
@@ org.apache.commons.cli.Option.hasNoValues,5,5,4,2,2,50.0,50.0,0,0
@@ org.apache.commons.cli.Option.equals,17,25,43,11,18,25.581395348837212,41.86046511627907,0,21
@@ org.apache.commons.cli.Option.hashCode,8,9,11,4,5,36.36363636363637,45.45454545454545,0,1
@@ org.apache.commons.cli.Util.stripLeadingHyphens,6,7,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ org.apache.commons.cli.Util.stripLeadingAndTrailingQuotes,6,7,12,4,7,33.33333333333333,58.333333333333336,0,1
@@ org.apache.commons.cli.GnuParser.flatten,40,57,154,49,90,31.818181818181817,58.44155844155844,0,232
@@ org.apache.commons.cli.OptionGroup.setSelected,5,6,14,3,5,21.428571428571427,35.714285714285715,0,0
@@ org.apache.commons.cli.OptionGroup.toString,10,12,15,4,6,26.666666666666668,40.0,0,3
@@ org.apache.commons.cli.PatternOptionBuilder.getValueClass,20,28,27,10,18,37.03703703703704,66.66666666666666,0,3
@@ org.apache.commons.cli.PatternOptionBuilder.isValueCode,13,22,20,11,20,55.00000000000001,100.0,0,3
@@ org.apache.commons.cli.PatternOptionBuilder.parsePattern,20,26,56,25,42,44.642857142857146,75.0,0,28
@@ org.apache.commons.cli.Parser.parse,25,36,59,18,33,30.508474576271187,55.932203389830505,0,42
@@ org.apache.commons.cli.Parser.processProperties,17,25,33,10,20,30.303030303030305,60.60606060606061,0,11
@@ org.apache.commons.cli.Parser.checkRequiredOptions,7,8,11,2,3,18.181818181818183,27.27272727272727,0,1
@@ org.apache.commons.cli.Parser.processOption,12,16,35,8,10,22.857142857142858,28.57142857142857,0,4
@@ org.apache.commons.cli.OptionBuilder.hasArg,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ org.apache.commons.cli.OptionBuilder.create,4,4,2,2,2,100.0,100.0,0,0
@@ org.apache.commons.cli.OptionValidator.validateOption,13,17,26,8,16,30.76923076923077,61.53846153846154,0,7
@@ org.apache.commons.cli.OptionValidator.isValidOpt,8,11,8,5,8,62.5,100.0,0,0
