@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ com.fasterxml.jackson.core.JsonFactory$Feature.collectDefaults,7,8,18,3,8,16.666666666666664,44.44444444444444,0,32
@@ com.fasterxml.jackson.core.JsonFactory$Feature.enabledIn,5,5,4,2,2,50.0,50.0,0,1
@@ com.fasterxml.jackson.core.JsonLocation.toString,5,5,12,2,3,16.666666666666664,25.0,0,4
@@ com.fasterxml.jackson.core.JsonLocation.hashCode,5,5,10,2,3,20.0,30.0,0,4
@@ com.fasterxml.jackson.core.JsonLocation.equals,19,28,53,12,20,22.641509433962266,37.735849056603776,0,31
@@ com.fasterxml.jackson.core.JsonToken.<init>,7,8,16,3,5,18.75,31.25,0,7
@@ com.fasterxml.jackson.core.JsonToken.isNumeric,6,7,8,3,4,37.5,50.0,0,2
@@ com.fasterxml.jackson.core.JsonToken.isScalarValue,5,5,4,2,2,50.0,50.0,0,1
@@ com.fasterxml.jackson.core.Version.<init>,8,9,8,4,5,50.0,62.5,0,3
@@ com.fasterxml.jackson.core.Version.isUknownVersion,5,5,4,2,2,50.0,50.0,0,1
@@ com.fasterxml.jackson.core.Version.isSnapshot,6,7,8,3,4,37.5,50.0,0,1
@@ com.fasterxml.jackson.core.Version.toString,4,4,6,2,3,33.33333333333333,50.0,0,0
@@ com.fasterxml.jackson.core.Version.equals,15,22,51,9,16,17.647058823529413,31.372549019607842,0,16
@@ com.fasterxml.jackson.core.Version.compareTo,9,13,37,6,10,16.216216216216218,27.027027027027028,0,10
@@ com.fasterxml.jackson.core.Base64Variants.valueOf,13,17,33,6,10,18.181818181818183,30.303030303030305,0,5
@@ com.fasterxml.jackson.core.JsonStreamContext.inArray,5,5,4,2,2,50.0,50.0,0,1
@@ com.fasterxml.jackson.core.JsonStreamContext.inRoot,5,5,4,2,2,50.0,50.0,0,0
@@ com.fasterxml.jackson.core.JsonStreamContext.inObject,5,5,4,2,2,50.0,50.0,0,1
@@ com.fasterxml.jackson.core.JsonStreamContext.getTypeDesc,6,8,8,4,4,50.0,50.0,0,1
@@ com.fasterxml.jackson.core.JsonStreamContext.getCurrentIndex,5,5,6,2,3,33.33333333333333,50.0,0,1
@@ com.fasterxml.jackson.core.JsonGenerator.configure,5,5,7,2,3,28.57142857142857,42.857142857142854,0,1
@@ com.fasterxml.jackson.core.Base64Variant.<init>,9,11,25,5,7,20.0,28.000000000000004,0,5
@@ com.fasterxml.jackson.core.Base64Variant.usesPaddingChar,5,5,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ com.fasterxml.jackson.core.Base64Variant.usesPaddingChar,5,5,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ com.fasterxml.jackson.core.Base64Variant.decodeBase64Char,5,5,5,2,3,40.0,60.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.decodeBase64Char,5,5,5,2,3,40.0,60.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.decodeBase64Byte,5,5,5,2,3,40.0,60.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant.encodeBase64Partial,9,11,23,4,6,17.391304347826086,26.08695652173913,0,1
@@ com.fasterxml.jackson.core.Base64Variant.encodeBase64Partial,9,11,15,4,6,26.666666666666668,40.0,0,1
@@ com.fasterxml.jackson.core.Base64Variant.encodeBase64Partial,9,11,25,4,6,16.0,24.0,0,3
@@ com.fasterxml.jackson.core.Base64Variant.encode,15,20,45,11,18,24.444444444444443,40.0,0,19
@@ com.fasterxml.jackson.core.Base64Variant.decode,35,50,98,28,39,28.57142857142857,39.795918367346935,0,108
@@ com.fasterxml.jackson.core.Base64Variant.equals,5,5,4,2,2,50.0,50.0,0,0
@@ com.fasterxml.jackson.core.Base64Variant._reportInvalidBase64,12,16,28,10,19,35.714285714285715,67.85714285714286,0,5
