@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.sysds.lops.MapMult.<init>,11,13,18,18,100.0,0,10
@@ org.apache.sysds.lops.MapMult.getBroadcastInput,7,8,9,9,100.0,0,0
@@ org.apache.sysds.lops.MapMult.getInstructions,4,4,9,5,55.55555555555556,0,0
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isBasic,5,5,4,4,100.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isLeft,9,13,20,10,50.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isRight,6,7,4,2,50.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isMult,10,15,24,12,50.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.isMinus,8,11,16,8,50.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.hasFourInputs,8,11,16,8,50.0,0,1
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.hasScalar,6,7,8,4,50.0,0,0
@@ org.apache.sysds.lops.WeightedDivMM$WDivMMType.computeOutputCharacteristics,7,8,9,9,100.0,0,1
@@ org.apache.sysds.lops.FunctionCallCP.<init>,8,10,14,11,78.57142857142857,0,0
@@ org.apache.sysds.lops.FunctionCallCP.<init>,5,5,5,5,100.0,0,0
@@ org.apache.sysds.lops.FunctionCallCP.requiresOutputCreateVar,5,5,6,6,100.0,0,0
@@ org.apache.sysds.lops.FunctionCallCP.getInstructionsMultipleReturnBuiltins,8,9,25,17,68.0,0,1
@@ org.apache.sysds.lops.FunctionCallCP.getInstructions,10,12,29,25,86.20689655172413,0,1
@@ org.apache.sysds.lops.WeightedCrossEntropy$WCeMMType.hasFourInputs,5,5,4,4,100.0,0,0
@@ org.apache.sysds.lops.Checkpoint.getInstructions,4,4,9,9,100.0,0,1
@@ org.apache.sysds.lops.Checkpoint.getStorageLevelString,24,34,22,22,100.0,0,1
@@ org.apache.sysds.lops.MapMultChain$ChainType.isWeighted,6,7,8,4,50.0,0,0
@@ org.apache.sysds.lops.Ternary.getInstructions,7,9,20,14,70.0,0,1
@@ org.apache.sysds.lops.Nary.<init>,8,10,14,10,71.42857142857143,0,0
@@ org.apache.sysds.lops.Nary.getInstructions,5,5,14,10,71.42857142857143,0,0
@@ org.apache.sysds.lops.Nary.getOpcode,6,8,18,18,100.0,0,0
@@ org.apache.sysds.lops.DnnTransform.getOpcode,19,34,53,53,100.0,0,1
@@ org.apache.sysds.lops.DnnTransform.getInstructions,8,11,34,23,67.64705882352942,0,1
@@ org.apache.sysds.lops.DnnTransform.getInstructions,4,4,13,13,100.0,0,0
@@ org.apache.sysds.lops.DnnTransform.getInstructions,4,4,14,14,100.0,0,0
@@ org.apache.sysds.lops.DnnTransform.getInstructions,7,8,20,12,60.0,0,0
@@ org.apache.sysds.lops.DnnTransform.getInstructions,4,4,16,16,100.0,0,0
@@ org.apache.sysds.lops.DnnTransform.appendOperands,7,8,23,17,73.91304347826086,0,1
@@ org.apache.sysds.lops.Data.<init>,29,41,56,50,89.28571428571429,0,4
@@ org.apache.sysds.lops.Data.getNamedInputLop,4,4,11,11,100.0,0,0
@@ org.apache.sysds.lops.Data.getBooleanValue,4,4,5,5,100.0,0,0
@@ org.apache.sysds.lops.Data.getDoubleValue,4,4,5,5,100.0,0,0
@@ org.apache.sysds.lops.Data.getLongValue,7,9,14,14,100.0,0,0
@@ org.apache.sysds.lops.Data.getStringValue,4,4,5,5,100.0,0,0
