>> Method, Nduas, Uduas, Rduas, UduaPerc, RduaPerc, Time_s, Time_ms
@@ org.apache.commons.math3.primes.PollardRho.primeFactors,9,3,4,33.33333333333333,44.44444444444444,0,12
@@ org.apache.commons.math3.primes.PollardRho.rhoBrent,75,18,48,24.0,64.0,0,146
@@ org.apache.commons.math3.primes.PollardRho.gcdPositive,23,4,7,17.391304347826086,30.434782608695656,0,8
@@ org.apache.commons.math3.primes.SmallPrimes.smallTrialDivision,23,4,8,17.391304347826086,34.78260869565217,0,7
@@ org.apache.commons.math3.primes.SmallPrimes.boundedTrialDivision,39,11,19,28.205128205128204,48.717948717948715,0,11
@@ org.apache.commons.math3.primes.SmallPrimes.trialDivision,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.math3.primes.SmallPrimes.millerRabinPrimeTest,58,23,44,39.6551724137931,75.86206896551724,0,33
@@ org.apache.commons.math3.primes.Primes.isPrime,23,6,12,26.08695652173913,52.17391304347826,0,3
@@ org.apache.commons.math3.primes.Primes.nextPrime,39,13,22,33.33333333333333,56.41025641025641,0,8
@@ org.apache.commons.math3.primes.Primes.primeFactors,5,2,2,40.0,40.0,0,0
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction.<init>,7,1,3,14.285714285714285,42.857142857142854,0,2
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction$1.value,13,2,4,15.384615384615385,30.76923076923077,0,0
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.<init>,8,3,4,37.5,50.0,0,1
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.findMaxY,22,5,13,22.727272727272727,59.09090909090909,0,6
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.interpolateXAtY,20,4,6,20.0,30.0,0,2
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.getInterpolationPointsForY,41,12,24,29.268292682926827,58.536585365853654,0,8
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser.isBetween,16,6,8,37.5,50.0,0,2
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.<init>,8,3,4,37.5,50.0,0,0
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.findMaxY,22,5,13,22.727272727272727,59.09090909090909,0,3
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.interpolateXAtY,20,4,6,20.0,30.0,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.getInterpolationPointsForY,41,12,24,29.268292682926827,58.536585365853654,0,8
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser.isBetween,16,6,8,37.5,50.0,0,1
@@ org.apache.commons.math3.fitting.AbstractCurveFitter$TheoreticalValuesFunction$2.value,13,2,4,15.384615384615385,30.76923076923077,0,1
@@ org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser$1.compare,32,12,20,37.5,62.5,0,4
@@ org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser$1.compare,32,12,20,37.5,62.5,0,4
@@ org.apache.commons.math3.fitting.GaussianCurveFitter.getOptimizer,20,3,5,15.0,25.0,0,2
@@ org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$2.value,10,1,3,10.0,30.0,0,0
@@ org.apache.commons.math3.fitting.CurveFitter.fit,14,1,3,7.142857142857142,21.428571428571427,0,1
@@ org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$1.value,10,1,3,10.0,30.0,0,1
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.<init>,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.sortObservations,47,11,23,23.404255319148938,48.93617021276596,0,14
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.guessAOmega,89,14,29,15.730337078651685,32.58426966292135,0,23
@@ org.apache.commons.math3.fitting.HarmonicFitter$ParameterGuesser.guessPhi,23,2,4,8.695652173913043,17.391304347826086,0,2
@@ org.apache.commons.math3.fitting.leastsquares.GaussNewtonOptimizer.doOptimize,111,22,36,19.81981981981982,32.432432432432435,0,76
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.doOptimize,427,121,214,28.337236533957842,50.11709601873536,1,1142
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.determineLMParameter,349,70,116,20.057306590257877,33.2378223495702,0,252
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.determineLMDirection,201,45,80,22.388059701492537,39.800995024875625,0,90
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.qrDecomposition,169,46,77,27.218934911242602,45.562130177514796,0,99
@@ org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.qTy,42,6,10,14.285714285714285,23.809523809523807,0,7
