@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.jsoup.DataUtil.load,11,15,18,7,12,38.88888888888889,66.66666666666666,0,25
@@ org.jsoup.DataUtil.readInputStream,6,7,10,3,4,30.0,40.0,0,5
@@ org.jsoup.nodes.Attributes.get,5,5,3,2,3,66.66666666666666,100.0,0,1
@@ org.jsoup.nodes.Attributes.asList,5,5,5,1,2,20.0,40.0,0,1
@@ org.jsoup.nodes.Attributes.html,5,5,5,1,2,20.0,40.0,0,2
@@ org.jsoup.nodes.Attributes.equals,11,15,23,6,10,26.08695652173913,43.47826086956522,0,10
@@ org.jsoup.nodes.Attributes.hashCode,5,5,6,2,3,33.33333333333333,50.0,0,2
@@ org.jsoup.nodes.Evaluator$IndexGreaterThan.matches,5,5,6,2,2,33.33333333333333,33.33333333333333,0,2
@@ org.jsoup.nodes.TextNode.outerHtml,10,15,22,8,14,36.36363636363637,63.63636363636363,0,12
@@ org.jsoup.nodes.TextNode.lastCharIsWhitespace,7,8,6,3,4,50.0,66.66666666666666,0,2
@@ org.jsoup.nodes.Element.id,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ org.jsoup.nodes.Element.children,7,8,8,2,4,25.0,50.0,0,4
@@ org.jsoup.nodes.Element.append,5,5,5,1,2,20.0,40.0,0,2
@@ org.jsoup.nodes.Element.prepend,5,5,9,2,4,22.22222222222222,44.44444444444444,0,2
@@ org.jsoup.nodes.Element.wrap,8,10,18,4,7,22.22222222222222,38.88888888888889,0,6
@@ org.jsoup.nodes.Element.getDeepChild,4,4,5,2,2,40.0,40.0,0,0
@@ org.jsoup.nodes.Element.nextElementSibling,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.jsoup.nodes.Element.previousElementSibling,4,4,4,2,2,50.0,50.0,0,0
@@ org.jsoup.nodes.Element.firstElementSibling,5,5,3,2,3,66.66666666666666,100.0,0,1
@@ org.jsoup.nodes.Element.elementSiblingIndex,4,4,3,2,2,66.66666666666666,66.66666666666666,0,2
@@ org.jsoup.nodes.Element.lastElementSibling,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ org.jsoup.nodes.Element.getElementById,4,4,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.jsoup.nodes.Element.text,16,23,28,8,16,28.57142857142857,57.14285714285714,0,23
@@ org.jsoup.nodes.Element.preserveWhitespace,7,9,8,4,6,50.0,75.0,0,1
@@ org.jsoup.nodes.Element.hasText,12,16,13,6,10,46.15384615384615,76.92307692307693,0,6
@@ org.jsoup.nodes.Element.data,9,11,12,3,6,25.0,50.0,0,3
@@ org.jsoup.nodes.Element.className,5,5,6,2,3,33.33333333333333,50.0,0,0
@@ org.jsoup.nodes.Element.classNames,4,4,8,2,3,25.0,37.5,0,1
@@ org.jsoup.nodes.Element.toggleClass,5,5,10,2,3,20.0,30.0,0,1
@@ org.jsoup.nodes.Element.val,4,4,4,2,2,50.0,50.0,0,1
@@ org.jsoup.nodes.Element.val,5,5,7,2,3,28.57142857142857,42.857142857142854,0,0
@@ org.jsoup.nodes.Element.outerHtml,13,19,32,10,17,31.25,53.125,0,7
@@ org.jsoup.nodes.Element.html,5,5,4,1,2,25.0,50.0,0,1
@@ org.jsoup.nodes.Element.equals,13,18,27,7,12,25.925925925925924,44.44444444444444,0,5
@@ org.jsoup.nodes.Element.hashCode,5,5,5,2,3,40.0,60.0,0,1
@@ org.jsoup.nodes.Evaluator$IndexLessThan.matches,5,5,6,2,2,33.33333333333333,33.33333333333333,0,2
@@ org.jsoup.nodes.XmlDeclaration.outerHtml,5,5,6,2,3,33.33333333333333,50.0,0,1
@@ org.jsoup.nodes.Evaluator$AttributeWithValueNot.matches,5,5,8,2,2,25.0,25.0,0,1
@@ org.jsoup.nodes.Evaluator$IndexEquals.matches,5,5,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.jsoup.nodes.Document.title,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ org.jsoup.nodes.Document.title,5,5,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.jsoup.nodes.Document.normalise,8,10,10,6,7,60.0,70.0,0,3
@@ org.jsoup.nodes.Document.normalise,11,14,16,4,7,25.0,43.75,0,11
@@ org.jsoup.nodes.Attribute.equals,16,23,39,10,16,25.64102564102564,41.02564102564102,0,7
@@ org.jsoup.nodes.Attribute.hashCode,8,9,11,4,5,36.36363636363637,45.45454545454545,0,2
@@ org.jsoup.nodes.Node.attr,6,7,11,3,4,27.27272727272727,36.36363636363637,0,2
@@ org.jsoup.nodes.Node.absUrl,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.jsoup.nodes.Node.setParentNode,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.jsoup.nodes.Node.replaceChild,7,8,17,4,5,23.52941176470588,29.411764705882355,0,2
@@ org.jsoup.nodes.Node.removeChild,5,5,9,2,3,22.22222222222222,33.33333333333333,0,0
@@ org.jsoup.nodes.Node.addChild,4,4,9,2,3,22.22222222222222,33.33333333333333,0,0
@@ org.jsoup.nodes.Node.nodeDepth,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.jsoup.nodes.Node.nextSibling,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.jsoup.nodes.Node.previousSibling,4,4,4,2,2,50.0,50.0,0,0
@@ org.jsoup.nodes.Node.indexInList,7,8,17,5,10,29.411764705882355,58.82352941176471,0,11
@@ org.jsoup.nodes.Node.equals,4,4,4,2,2,50.0,50.0,0,1
@@ org.jsoup.nodes.Node.hashCode,8,9,11,4,5,36.36363636363637,45.45454545454545,0,1
@@ org.jsoup.parser.TokenQueue.<init>,5,5,11,2,4,18.181818181818183,36.36363636363637,0,1
@@ org.jsoup.parser.TokenQueue.addFirst,5,5,8,2,3,25.0,37.5,0,1
@@ org.jsoup.parser.TokenQueue.matches,9,11,26,5,10,19.230769230769234,38.46153846153847,0,3
@@ org.jsoup.parser.TokenQueue.matchesAny,7,8,15,4,8,26.666666666666668,53.333333333333336,0,2
@@ org.jsoup.parser.TokenQueue.matchChomp,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.jsoup.parser.TokenQueue.matchesWhitespace,6,7,8,3,4,37.5,50.0,0,1
@@ org.jsoup.parser.TokenQueue.matchesWord,6,7,8,3,4,37.5,50.0,0,1
@@ org.jsoup.parser.TokenQueue.consume,9,11,20,4,7,20.0,35.0,0,3
@@ org.jsoup.parser.TokenQueue.consumeToAny,6,7,11,3,5,27.27272727272727,45.45454545454545,0,1
@@ org.jsoup.parser.TokenQueue.consumeWhitespace,6,7,11,4,5,36.36363636363637,45.45454545454545,0,1
@@ org.jsoup.parser.TokenQueue.consumeWord,6,7,12,3,5,25.0,41.66666666666667,0,1
@@ org.jsoup.parser.TokenQueue.consumeCssIdentifier,8,11,20,9,16,45.0,80.0,0,7
@@ org.jsoup.parser.TokenQueue.consumeAttributeKey,7,9,14,4,8,28.57142857142857,57.14285714285714,0,2
@@ org.jsoup.parser.TokenQueue.remainder,5,5,7,1,2,14.285714285714285,28.57142857142857,0,0
@@ org.jsoup.parser.Tag.valueOf,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.jsoup.parser.Tag.canContain,31,51,82,26,42,31.70731707317073,51.21951219512195,0,24
@@ org.jsoup.parser.Tag.isInline,5,5,4,2,2,50.0,50.0,0,0
@@ org.jsoup.parser.Tag.isData,6,7,6,3,4,50.0,66.66666666666666,0,0
@@ org.jsoup.parser.Tag.getImplicitParent,5,5,6,2,3,33.33333333333333,50.0,0,0
@@ org.jsoup.parser.Tag.isValidParent,9,11,13,4,6,30.76923076923077,46.15384615384615,0,1
@@ org.jsoup.parser.Tag.equals,22,32,67,12,22,17.91044776119403,32.83582089552239,0,9
@@ org.jsoup.parser.Tag.hashCode,20,25,31,12,13,38.70967741935484,41.935483870967744,0,6
@@ org.jsoup.parser.Tag.setAncestor,7,8,17,3,6,17.647058823529413,35.294117647058826,0,2
@@ org.jsoup.parser.Parser.<init>,5,5,8,2,2,25.0,25.0,0,1
@@ org.jsoup.parser.Parser.parseComment,4,4,7,2,3,28.57142857142857,42.857142857142854,0,4
@@ org.jsoup.parser.Parser.parseEndTag,4,4,4,2,2,50.0,50.0,0,0
@@ org.jsoup.parser.Parser.parseStartTag,22,31,61,14,21,22.950819672131146,34.42622950819672,0,11
@@ org.jsoup.parser.Parser.parseAttribute,16,22,45,9,18,20.0,40.0,0,6
@@ org.jsoup.parser.Parser.addChildToParent,10,13,30,6,8,20.0,26.666666666666668,0,2
@@ org.jsoup.parser.Parser.stackHasValidParent,10,13,24,7,12,29.166666666666668,50.0,0,5
@@ org.jsoup.parser.Parser.popStackToClose,14,19,43,11,23,25.581395348837212,53.48837209302325,0,13
@@ org.jsoup.safety.Whitelist$TypedValue.hashCode,5,5,7,2,3,28.57142857142857,42.857142857142854,0,1
@@ org.jsoup.safety.Whitelist$TypedValue.equals,13,18,27,7,12,25.925925925925924,44.44444444444444,0,4
@@ org.jsoup.safety.Whitelist.addTags,5,5,12,2,4,16.666666666666664,33.33333333333333,0,2
@@ org.jsoup.safety.Whitelist.addAttributes,8,9,25,4,6,16.0,24.0,0,3
@@ org.jsoup.safety.Whitelist.addEnforcedAttribute,5,5,17,2,3,11.76470588235294,17.647058823529413,0,1
@@ org.jsoup.safety.Whitelist.addProtocols,11,13,37,8,14,21.62162162162162,37.83783783783784,0,5
@@ org.jsoup.safety.Whitelist.isSafeAttribute,16,22,45,8,14,17.77777777777778,31.11111111111111,0,3
@@ org.jsoup.safety.Whitelist.testValidProtocol,7,8,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ org.jsoup.safety.Whitelist.getEnforcedAttributes,6,7,14,2,4,14.285714285714285,28.57142857142857,0,2
@@ org.jsoup.safety.Cleaner.isValid,5,5,2,2,2,100.0,100.0,0,0
@@ org.jsoup.safety.Cleaner.copySafeNodes,12,15,31,11,17,35.483870967741936,54.83870967741935,0,19
@@ org.jsoup.safety.Cleaner.createSafeElement,8,9,24,3,6,12.5,25.0,0,3
@@ org.jsoup.examples.ListLinks.main,17,21,18,6,8,33.33333333333333,44.44444444444444,0,4
@@ org.jsoup.examples.ListLinks.trim,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.jsoup.select.Collector.accumulateMatches,7,8,12,3,4,25.0,33.33333333333333,0,1
@@ org.jsoup.select.Selector.select,5,5,6,1,2,16.666666666666664,33.33333333333333,0,1
@@ org.jsoup.select.Selector.select,15,20,44,6,11,13.636363636363635,25.0,0,12
@@ org.jsoup.select.Selector.combinator,11,14,29,5,9,17.24137931034483,31.03448275862069,0,2
@@ org.jsoup.select.Selector.findElements,18,25,42,9,16,21.428571428571427,38.095238095238095,0,4
@@ org.jsoup.select.Selector.byId,4,4,5,2,3,40.0,60.0,0,0
@@ org.jsoup.select.Selector.byAttribute,14,19,49,7,12,14.285714285714285,24.489795918367346,0,4
@@ org.jsoup.select.Selector.filterForChildren,11,14,16,4,8,25.0,50.0,0,3
@@ org.jsoup.select.Selector.filterForDescendants,12,15,16,4,8,25.0,50.0,0,4
@@ org.jsoup.select.Selector.filterForAdjacentSiblings,13,17,21,5,10,23.809523809523807,47.61904761904761,0,8
@@ org.jsoup.select.Selector.filterForGeneralSiblings,12,15,20,4,8,20.0,40.0,0,7
@@ org.jsoup.select.Selector.filterForSelf,10,12,14,3,6,21.428571428571427,42.857142857142854,0,3
@@ org.jsoup.select.Elements.attr,7,8,9,3,4,33.33333333333333,44.44444444444444,0,2
@@ org.jsoup.select.Elements.hasAttr,7,8,7,3,4,42.857142857142854,57.14285714285714,0,0
@@ org.jsoup.select.Elements.attr,5,5,6,1,2,16.666666666666664,33.33333333333333,0,1
@@ org.jsoup.select.Elements.removeAttr,5,5,5,1,2,20.0,40.0,0,1
@@ org.jsoup.select.Elements.addClass,5,5,5,1,2,20.0,40.0,0,0
@@ org.jsoup.select.Elements.removeClass,5,5,5,1,2,20.0,40.0,0,0
@@ org.jsoup.select.Elements.toggleClass,5,5,5,1,2,20.0,40.0,0,1
@@ org.jsoup.select.Elements.hasClass,7,8,7,3,4,42.857142857142854,57.14285714285714,0,2
@@ org.jsoup.select.Elements.val,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.jsoup.select.Elements.val,5,5,5,1,2,20.0,40.0,0,0
@@ org.jsoup.select.Elements.text,7,8,9,2,4,22.22222222222222,44.44444444444444,0,1
@@ org.jsoup.select.Elements.hasText,7,8,5,3,4,60.0,80.0,0,0
@@ org.jsoup.select.Elements.html,7,8,9,2,4,22.22222222222222,44.44444444444444,0,2
@@ org.jsoup.select.Elements.outerHtml,7,8,9,2,4,22.22222222222222,44.44444444444444,0,1
@@ org.jsoup.select.Elements.html,5,5,5,1,2,20.0,40.0,0,1
@@ org.jsoup.select.Elements.prepend,5,5,5,1,2,20.0,40.0,0,0
@@ org.jsoup.select.Elements.append,5,5,5,1,2,20.0,40.0,0,0
@@ org.jsoup.select.Elements.wrap,5,5,5,1,2,20.0,40.0,0,1
@@ org.jsoup.select.Elements.eq,4,4,8,2,2,25.0,25.0,0,0
@@ org.jsoup.select.Elements.is,5,5,2,2,2,100.0,100.0,0,0
@@ org.jsoup.select.Elements.first,5,5,6,2,3,33.33333333333333,50.0,0,1
@@ org.jsoup.select.Elements.last,5,5,6,2,3,33.33333333333333,50.0,0,1
