@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.<init>,12,15,18,18,100.0,0,7
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.findNamespace,8,10,18,17,94.44444444444444,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsAttribute,8,10,18,17,94.44444444444444,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsText,8,10,18,17,94.44444444444444,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsCData,8,10,18,17,94.44444444444444,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.setDefaultUseWrapper,6,7,14,14,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setupModule,4,4,9,9,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.<init>,6,7,9,6,66.66666666666666,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.readResolve,6,7,15,15,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.configure,5,5,7,7,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.isEnabled,5,5,6,6,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.configure,5,5,7,7,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.isEnabled,5,5,6,6,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.createParser,4,4,12,11,91.66666666666666,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.createParser,6,7,18,17,94.44444444444444,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,4,4,8,8,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,4,4,8,8,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,4,4,8,8,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,4,4,8,8,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.hasXMLFormat,49,75,88,82,93.18181818181817,0,4
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.validXmlNameStartChar,4,4,2,2,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.tryMatch,9,11,21,14,66.66666666666666,0,0
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findWrapperName,11,15,17,17,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findRootName,7,9,12,12,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNamespace,4,4,3,3,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsAttribute,7,8,6,6,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsText,7,8,6,6,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsCData,7,8,6,6,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForSerialization,6,8,11,11,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForDeserialization,6,8,11,11,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector._findXmlName,4,4,3,3,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlMapper.<init>,4,4,7,7,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlMapper.setDefaultUseWrapper,7,8,8,8,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.init,4,4,7,7,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.typeProperty,5,6,9,8,88.88888888888889,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.idResolver,7,9,25,25,100.0,0,1
