@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.codec.net.RFC1522Codec.encodeText,4,4,5,5,100.0,0,5
@@ org.apache.commons.codec.net.RFC1522Codec.decodeText,17,25,38,38,100.0,0,3
@@ org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable,14,18,34,17,50.0,0,2
@@ org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable,13,17,29,20,68.96551724137932,0,1
@@ org.apache.commons.codec.net.QuotedPrintableCodec.encode,4,4,4,4,100.0,0,1
@@ org.apache.commons.codec.net.QuotedPrintableCodec.decode,4,4,5,5,100.0,0,1
@@ org.apache.commons.codec.net.QuotedPrintableCodec.decode,4,4,4,4,100.0,0,0
@@ org.apache.commons.codec.net.QuotedPrintableCodec.encode,8,10,11,11,100.0,0,1
@@ org.apache.commons.codec.net.QuotedPrintableCodec.decode,8,10,11,11,100.0,0,0
@@ org.apache.commons.codec.net.QuotedPrintableCodec.encode,4,4,5,5,100.0,0,0
@@ org.apache.commons.codec.net.QCodec.doEncoding,10,13,26,16,61.53846153846154,0,0
@@ org.apache.commons.codec.net.QCodec.doDecoding,17,22,43,23,53.48837209302325,0,2
@@ org.apache.commons.codec.net.QCodec.encode,4,4,5,5,100.0,0,0
@@ org.apache.commons.codec.net.QCodec.encode,4,4,4,4,100.0,0,0
@@ org.apache.commons.codec.net.QCodec.decode,4,4,4,4,100.0,0,1
@@ org.apache.commons.codec.net.QCodec.encode,6,7,7,7,100.0,0,0
@@ org.apache.commons.codec.net.QCodec.decode,6,7,7,7,100.0,0,0
@@ org.apache.commons.codec.net.BCodec.doEncoding,4,4,3,3,100.0,0,0
@@ org.apache.commons.codec.net.BCodec.doDecoding,4,4,3,3,100.0,0,0
@@ org.apache.commons.codec.net.BCodec.encode,4,4,5,5,100.0,0,1
@@ org.apache.commons.codec.net.BCodec.encode,4,4,4,4,100.0,0,0
@@ org.apache.commons.codec.net.BCodec.decode,4,4,4,4,100.0,0,1
@@ org.apache.commons.codec.net.BCodec.encode,6,7,7,7,100.0,0,0
@@ org.apache.commons.codec.net.BCodec.decode,6,7,7,7,100.0,0,1
@@ org.apache.commons.codec.net.URLCodec.encodeUrl,16,21,39,17,43.58974358974359,0,2
@@ org.apache.commons.codec.net.URLCodec.decodeUrl,15,20,32,23,71.875,0,1
@@ org.apache.commons.codec.net.URLCodec.encode,4,4,5,5,100.0,0,1
@@ org.apache.commons.codec.net.URLCodec.encode,4,4,4,4,100.0,0,0
@@ org.apache.commons.codec.net.URLCodec.decode,4,4,5,5,100.0,0,1
@@ org.apache.commons.codec.net.URLCodec.decode,4,4,4,4,100.0,0,0
@@ org.apache.commons.codec.net.URLCodec.encode,8,10,11,11,100.0,0,0
@@ org.apache.commons.codec.net.URLCodec.decode,8,10,11,11,100.0,0,1
@@ org.apache.commons.codec.digest.DigestUtils.digest,5,5,10,6,60.0,0,0
@@ org.apache.commons.codec.language.SoundexUtils.clean,12,16,37,20,54.054054054054056,0,1
@@ org.apache.commons.codec.language.SoundexUtils.differenceEncoded,10,13,26,15,57.692307692307686,0,0
@@ org.apache.commons.codec.language.Caverphone.caverphone,5,6,5,5,100.0,0,1
@@ org.apache.commons.codec.language.Caverphone.encode,4,4,4,4,100.0,0,0
@@ org.apache.commons.codec.language.Metaphone.metaphone,116,193,550,265,48.18181818181818,0,6
@@ org.apache.commons.codec.language.Metaphone.isVowel,5,5,4,4,100.0,0,0
@@ org.apache.commons.codec.language.Metaphone.isPreviousChar,8,10,14,13,92.85714285714286,0,1
@@ org.apache.commons.codec.language.Metaphone.isNextChar,8,10,14,13,92.85714285714286,0,1
@@ org.apache.commons.codec.language.Metaphone.regionMatch,5,6,13,12,92.3076923076923,0,0
@@ org.apache.commons.codec.language.Metaphone.isLastChar,5,5,4,4,100.0,0,0
@@ org.apache.commons.codec.language.Metaphone.encode,4,4,4,4,100.0,0,0
@@ org.apache.commons.codec.language.DoubleMetaphone.doubleMetaphone,59,93,1724,125,7.250580046403712,0,4
@@ org.apache.commons.codec.language.DoubleMetaphone.encode,4,4,4,4,100.0,0,1
@@ org.apache.commons.codec.language.DoubleMetaphone.handleAEIOUY,4,4,4,4,100.0,0,0
@@ org.apache.commons.codec.language.DoubleMetaphone.handleC,31,46,97,87,89.69072164948454,0,2
@@ org.apache.commons.codec.language.DoubleMetaphone.handleCC,11,15,27,25,92.5925925925926,0,1
@@ org.apache.commons.codec.language.DoubleMetaphone.handleCH,14,19,32,32,100.0,0,0
@@ org.apache.commons.codec.language.DoubleMetaphone.handleD,9,11,24,20,83.33333333333334,0,1
@@ org.apache.commons.codec.language.DoubleMetaphone.handleG,41,65,128,120,93.75,0,2
@@ org.apache.commons.codec.language.DoubleMetaphone.handleGH,25,39,67,63,94.02985074626866,0,1
@@ org.apache.commons.codec.language.DoubleMetaphone.handleH,7,9,19,17,89.47368421052632,0,1
@@ org.apache.commons.codec.language.DoubleMetaphone.handleJ,27,42,76,73,96.05263157894737,0,2
@@ org.apache.commons.codec.language.DoubleMetaphone.handleL,7,8,17,15,88.23529411764706,0,0
@@ org.apache.commons.codec.language.DoubleMetaphone.handleP,8,9,16,14,87.5,0,1
@@ org.apache.commons.codec.language.DoubleMetaphone.handleR,11,15,23,23,100.0,0,1
@@ org.apache.commons.codec.language.DoubleMetaphone.handleS,35,50,83,76,91.56626506024097,0,1
@@ org.apache.commons.codec.language.DoubleMetaphone.handleSC,15,21,35,35,100.0,0,1
@@ org.apache.commons.codec.language.DoubleMetaphone.handleT,18,25,41,37,90.2439024390244,0,0
@@ org.apache.commons.codec.language.DoubleMetaphone.handleW,19,28,57,52,91.22807017543859,0,1
